Variable,A,A,A,A,B,B,B,B,C,C,C,C
17,0.42405252475100547,0.5517400055984122,0.024207469650582344,0.0,0.46255641301754036,0.5374435869824596,0.0,0.0,0.15895781665781625,0.8410421833421837,0.0,0.0
18,0.14623773916301847,0.4274477131193969,0.07516885995034403,0.3511456877672406,0.0,0.6912258856932104,0.0,0.3087741143067896,0.0,0.0,0.29727100181768895,0.702728998182311
19,0.28546957719035304,0.26939914213745886,0.3700007328431361,0.07513054782905182,0.25,0.25,0.25,0.25,0.0,1.0,0.0,0.0
20,0.0,0.37064243599098917,0.6293575640090108,0.0,0.34087764062064185,0.0,0.5142477190515307,0.1448746403278276,0.5,0.0,0.5,0.0
21,0.5087510099798617,0.17977104308434327,0.0,0.31147794693579495,0.0,0.7316049746689817,0.2683950253310183,0.0,0.25,0.25,0.25,0.25
22,0.0,0.7096122493864601,0.0,0.29038775061353983,0.05016590869515827,0.0,0.4749170456524209,0.4749170456524209,0.0,0.0,1.0,0.0
23,1.0,0.0,0.0,0.0,0.3090579528565357,0.41853220984409073,0.2724098372993736,0.0,0.9931087895182609,0.0,0.0,0.0068912104817391625
24,0.0,0.824171611687021,0.0,0.175828388312979,0.25,0.25,0.25,0.25,0.15639161719703007,0.42279782957345724,0.0,0.4208105532295128
25,0.0,0.2281002563796085,0.22100269612316933,0.5508970474972222,0.0,0.18079052731607329,0.8130959534958547,0.006113519188072059,0.02478719932116853,0.4201964028213951,0.19021252472605593,0.36480387313138035
26,0.6740609009012221,0.32593909909877794,0.0,0.0,0.0,0.6292289593171938,0.3707710406828062,0.0,0.018413811334627512,0.541184532652491,0.0,0.44040165601288156
27,0.0,0.0,1.0,0.0,0.0,0.0546298279238922,0.0,0.9453701720761079,0.298635452676126,0.0,0.701364547323874,0.0
28,0.10126830616321987,0.490272137139527,0.40845955669725315,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.25
29,0.8188995660566818,0.0,0.0,0.18110043394331815,0.0,0.0,0.0,1.0,0.0,0.08232859818756283,0.0,0.9176714018124372
30,0.32673315875207537,0.32465115324516197,0.34861568800276277,0.0,0.3988664143304589,0.0,0.6011335856695411,0.0,0.0,0.5249487645056377,0.4750512354943624,0.0
31,0.5929929358415639,0.0,0.3833185532745401,0.023688510883896,0.33500706929385404,0.664992930706146,0.0,0.0,0.0,0.02995512701333064,0.0,0.9700448729866693
32,0.5992731923835337,0.0,0.13225312047497964,0.2684736871414866,0.13108099554823657,0.1420628366969144,0.48071536536143394,0.24614080239341507,0.9234470779926985,0.07655292200730142,0.0,0.0
33,0.4162427841310173,0.5837572158689827,0.0,0.0,0.17093504648188063,0.29553448729673676,0.29553448729673676,0.23799597892464597,0.12199610115992775,0.0,0.26868668381274363,0.6093172150273286
34,0.7333169453250624,0.13615944434503544,0.024262064161356615,0.10626154616854562,0.0,0.0,1.0,0.0,0.13212393928384936,0.34295334692981366,0.3399772130624172,0.1849455007239198
35,0.0,1.0,0.0,0.0,0.02620217859027097,0.18658248741746017,0.7391502625537785,0.04806507143849047,0.25390180344153745,0.7460981965584625,0.0,0.0
36,0.0011868215681378046,0.19652439117421744,0.8022887872576446,0.0,0.14992924670306648,0.0,0.3313770827918649,0.5186936705050686,0.212012779841984,0.3871010901689088,0.13499580737571334,0.26589032261339385
37,0.0,0.8715257649477429,0.029798767003132727,0.09867546804912426,0.19859450673961526,0.0,0.8014054932603848,0.0,0.08779854939622028,0.0,0.26272982356816116,0.6494716270356186
38,0.24650889067580314,0.5229674658792708,0.0,0.23052364344492615,0.25,0.25,0.25,0.25,0.0,0.0,0.0,1.0
39,0.0,1.0,0.0,0.0,0.3273592119074534,0.1171001464212768,0.0,0.5555406416712697,0.3874995355593909,0.0,0.0,0.6125004644406091
40,0.9294102604886898,0.0,0.07058973951131024,0.0,1.0,0.0,0.0,0.0,0.11102006304207597,0.5430768519374094,0.30174494217768055,0.04415814284283416
41,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.034108045059892025,0.9658919549401078,0.0
42,0.2714861673901207,0.7285138326098792,0.0,0.0,0.765767319485975,0.0,0.23423268051402502,0.0,0.9725656633685233,0.0,0.02743433663147667,0.0
43,0.8111335296033461,0.0,0.188866470396654,0.0,0.45351305760612887,0.0,0.009271636992154221,0.5372153054017169,0.434947444563745,0.0,0.565052555436255,0.0
44,0.36149245185715523,0.10962650609484446,0.5288810420480003,0.0,0.0,0.6555133606219721,0.24511510933077046,0.09937153004725739,0.0,0.9748145854033974,0.025185414596602618,0.0
45,0.3999960515058594,0.0,0.44767497914148774,0.15232896935265305,0.0,0.32592482031172326,0.0,0.6740751796882767,0.0,0.2492162175787155,0.0,0.7507837824212845
46,0.25,0.25,0.25,0.25,0.04722212862782836,0.0,0.40200658155938157,0.5507712898127901,0.25753346518653053,0.0,0.5552806365066709,0.18718589830679846
47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.28725336417051084,0.0,0.7127466358294892
48,0.46185243555435657,0.0,0.3117622305378642,0.22638533390777923,0.12354855120616284,0.3451870781169884,0.0,0.5312643706768488,0.11851928785334273,0.2899255953945759,0.5915551167520814,0.0
49,0.8733788760973547,0.0,0.1266211239026453,0.0,0.6300131534015603,0.0,0.0,0.36998684659843967,0.0,0.12685769680901732,0.38643332488739324,0.48670897830358956
50,0.944309853123354,0.05569014687664601,0.0,0.0,0.7205235377831128,0.0,0.24812193964150148,0.031354522575385846,0.027889603758188268,0.0,0.5012219439961757,0.47088845224563597
51,0.07866702637690148,0.5159902547245427,0.31328046681499455,0.09206225208356121,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.25
52,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9654816882522315,0.03451831174776852,0.0,0.0
53,0.0,1.0,0.0,0.0,0.17698806491052332,0.2018637906026512,0.46505599961773014,0.15609214486909517,0.0,0.33691758770467767,0.5309384728636991,0.13214393943162314
54,0.4622566098354922,0.0,0.0,0.5377433901645077,0.0,0.0,0.43019965275535427,0.5698003472446457,0.0,0.20627705244836336,0.15867786051384186,0.6350450870377948
55,0.0,0.35526760348517894,0.0,0.644732396514821,0.0,0.0,0.9745739075816605,0.02542609241833957,0.25,0.25,0.25,0.25
56,0.5641445061152296,0.20624315181146569,0.22961234207330464,0.0,0.25,0.25,0.25,0.25,0.0,0.3723278257012584,0.6276721742987417,0.0
57,0.5428753633325105,0.1575524273634716,0.0,0.29957220930401784,0.0,0.7392452395428474,0.052508497934080474,0.2082462625230721,0.6034955212791835,0.32947210926938125,0.0,0.06703236945143527
58,0.5145168012828778,0.15141870271742675,0.13591821022376524,0.19814628577593024,0.0,0.2695399981437869,0.25337841701791447,0.4770815848382987,0.0,0.13680819564555208,0.40254015455950504,0.46065164979494283
59,0.0,1.0,0.0,0.0,0.08093363314169398,0.5173600745330492,0.4017062923252568,0.0,0.3604854462642599,0.12589613422143958,0.1864828065803694,0.32713561293393123
60,0.11306296180284876,0.494663561816954,0.18054149934266525,0.211731977037532,0.385415622714276,0.22071598328733666,0.39386839399838747,0.0,0.25,0.25,0.25,0.25
61,0.0,0.3948250111999583,0.26824184366722686,0.3369331451328148,0.0,0.6030008300425771,0.24229738899821082,0.15470178095921203,0.0,0.3358905240793924,0.6148007192479158,0.04930875667269167
62,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.13483968850944766,0.0,0.8651603114905524,0.0
63,0.0,1.0,0.0,0.0,0.0,0.0,0.43335693813201537,0.5666430618679846,0.45286318408186393,0.004585578302877889,0.5425512376152583,0.0
64,0.36499967279515516,0.3814878104288415,0.010566583890610635,0.24294593288539268,0.5184417472296021,0.0,0.0,0.48155825277039777,0.3673880231517336,0.43893020285050993,0.19368177399775638,0.0
65,0.3452214915949904,0.0,0.0,0.6547785084050096,0.0,0.0,1.0,0.0,0.28675789116676575,0.2871314882940344,0.4261106205391998,0.0
66,0.0,0.3687469311066478,0.47605062311883545,0.15520244577451667,0.0,0.7421120128519312,0.2578879871480687,0.0,0.6104517968671899,0.0,0.17734018559390288,0.21220801753890722
67,0.5406772473772081,0.21961483612881208,0.0,0.2397079164939797,0.3322670042968509,0.5956181224628366,0.07211487324031243,0.0,0.051715681992074033,0.0,0.948284318007926,0.0
68,0.7850726813960083,0.21492731860399178,0.0,0.0,0.41413811255275873,0.5858618874472412,0.0,0.0,0.03220885885260637,0.28355887665028967,0.4817723701595744,0.20245989433752956
69,0.4030556440333625,0.033673062089443255,0.18645872063876284,0.37681257323843126,0.0,0.0,1.0,0.0,0.0,0.3651256922090749,0.0,0.6348743077909251
70,0.5,0.0,0.5,0.0,0.34023963128280676,0.5131768515999314,0.043365518507084186,0.10321799861017765,0.8087546560332376,0.1912453439667623,0.0,0.0
71,0.2625399290687141,0.0,0.7374600709312858,0.0,0.0,0.22643436561135497,0.7289850556844217,0.04458057870422339,0.0,0.5210543265134966,0.0,0.4789456734865034
72,0.37437881976102766,0.11896468111037097,0.293484727234611,0.21317177189399042,0.2629730329300416,0.0,0.5352300090553836,0.20179695801457476,0.11937736322306405,0.6549061710765758,0.22571646570036016,0.0
73,0.0,0.6144348971449136,0.3855651028550864,0.0,0.0,0.6051819103705801,0.00960364498870556,0.3852144446407144,0.06197205030061086,0.42131878499500514,0.3406706880039894,0.17603847670039446
74,0.3606073913795759,0.0,0.39344214912431075,0.24595045949611336,0.0,0.059722379503293614,0.5254977200456024,0.414779900451104,0.4811911451648544,0.0,0.0,0.5188088548351456
75,0.5228540331454167,0.2430631418484728,0.0,0.2340828250061105,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,0.0,0.0,1.0,0.0,0.4247299005438725,0.0,0.0,0.5752700994561275,0.0,1.0,0.0,0.0
77,0.4861214855496355,0.3616903437459473,0.15218817070441723,0.0,0.0,0.0,0.11788697474668922,0.8821130252533108,0.0,0.0,1.0,0.0
78,0.25,0.25,0.25,0.25,0.0,0.7350458060022071,0.08565162431803712,0.17930256967975572,0.10535861897924434,0.05362801983317202,0.5825531485536166,0.25846021263396696
79,0.5546945651460027,0.05149650909866071,0.21166753127290777,0.1821413944824288,0.0,0.31423908386807237,0.5711514343567117,0.11460948177521599,0.0,0.0,0.0,1.0
80,0.06708716587355254,0.0,0.0,0.9329128341264474,0.4060714432532507,0.11615064586356044,0.47777791088318894,0.0,0.16594444835610694,0.0,0.0,0.834055551643893
81,0.3309743167702158,0.25685239562277606,0.11785242784587133,0.2943208597611368,0.0,0.33552517731788967,0.0,0.6644748226821102,0.0,0.0,0.0,1.0
82,0.11682052918141121,0.5613259505869562,0.0,0.3218535202316327,0.0,0.7703479282217117,0.0,0.2296520717782883,0.38193128617066674,0.0,0.1930440571552216,0.42502465667411166
83,0.4553227013311532,0.09418937057358408,0.340540640942629,0.10994728715263377,0.25613158720186713,0.0,0.0,0.7438684127981328,0.0,0.5619728595854999,0.02192543896573332,0.4161017014487666
84,0.5279925073271627,0.0,0.039736926697569834,0.4322705659752674,0.0,0.2754696439899662,0.05754741143743016,0.6669829445726037,0.25,0.25,0.25,0.25
85,0.44723369655040995,0.30394667105020595,0.24881963239938412,0.0,0.40809790696046855,0.0,0.23280621501760135,0.35909587802193005,0.45293678002317184,0.05021954224394708,0.352383457673535,0.144460220059346
86,0.5467646162660827,0.055800139766760716,0.3487453977813786,0.04868984618577806,0.0,0.6650382905221408,0.33496170947785925,0.0,0.08702582368849972,0.4076716919557058,0.5053024843557944,0.0
87,0.05587279038844074,0.0,0.23077476261725527,0.713352446994304,0.17624009652590594,0.3332983781032452,0.1629461619453775,0.3275153634254712,0.0,0.45398199725832755,0.0,0.5460180027416724
88,0.0,0.0,0.8373386173357219,0.1626613826642781,0.0,0.0,0.0,1.0,0.25,0.25,0.25,0.25
89,0.8315090632461007,0.009049803790947561,0.0,0.1594411329629518,0.0,0.7055186408593952,0.29448135914060486,0.0,0.25,0.25,0.25,0.25
90,0.25,0.25,0.25,0.25,0.0,0.0,0.49197376435246,0.50802623564754,0.0,0.234106063632671,0.765893936367329,0.0
91,0.6312961095788957,0.0,0.36870389042110424,0.0,0.0,0.7584921399346501,0.0,0.24150786006534986,0.1450405572919373,0.7376621423488666,0.0,0.11729730035919614
92,0.5879379906937346,0.0,0.0,0.41206200930626546,0.12409554935279031,0.0,0.4379522253236048,0.4379522253236048,0.31226690513554173,0.0,0.0,0.6877330948644582
93,0.11933232330144561,0.0,0.0,0.8806676766985543,0.020520787208079417,0.27068756319199994,0.18150036851763937,0.5272912810822813,0.0,0.2133444416439401,0.04155688838442766,0.7450986699716322
94,0.4899742262021206,0.12004806824012274,0.369294154308595,0.020683551249161748,0.0,0.10439374856248831,0.43555458884760856,0.4600516625899031,1.0,0.0,0.0,0.0
95,0.0,0.25693230536084205,0.5878460000293244,0.15522169460983354,0.0,0.0,0.0,1.0,0.252537748281159,0.0,0.5436800851098104,0.2037821666090306
96,0.0,0.8274044679666251,0.0,0.17259553203337497,0.49134484209225676,0.0,0.15407838789445064,0.3545767700132926,0.0,0.0025690299316522723,0.5614266060213312,0.43600436404701637
97,0.12727111485613202,0.0,0.8082304988905641,0.0644983862533039,0.0,0.4547502241426103,0.4547502241426103,0.09049955171477944,0.0,0.0,0.861887703841044,0.13811229615895598
98,0.44572630903148613,0.0,0.44572630903148613,0.10854738193702781,0.0,0.0,0.0,1.0,0.0,0.13720283412532686,0.3889870895777708,0.47381007629690236
99,0.8187064073500838,0.015196646699581949,0.0,0.16609694595033417,0.05446470611858583,0.710186955023349,0.23534833885806516,0.0,0.40615167757177645,0.16787488555564975,0.0,0.42597343687257394
100,0.6373675350042636,0.0,0.0,0.3626324649957363,0.25,0.25,0.25,0.25,0.0,0.7606416111140829,0.0,0.239358388885917
101,0.47844321680885465,0.0,0.12207469066841377,0.39948209252273165,0.06973735224177185,0.9302626477582282,0.0,0.0,0.0,0.588811274517364,0.0,0.411188725482636
102,0.37181981715125095,0.3000896983556689,0.24115438065043088,0.08693610384264926,0.0,0.0,0.0,1.0,0.0561521427502786,0.6973658598003509,0.24648199744937038,0.0
103,0.2415707609834208,0.0,0.2984146901467342,0.460014548869845,0.40019378706969344,0.0,0.19961242586061326,0.40019378706969344,0.0,0.26744001896559555,0.0,0.7325599810344045
104,0.3740636280981274,0.0,0.6259363719018727,0.0,0.2332089336043492,0.4545836070441692,0.0,0.31220745935148153,0.2811404077431242,0.32459515726231386,0.0,0.39426443499456193
105,0.7941129368837383,0.11449966089406198,0.09138740222219985,0.0,0.8969788982311373,0.0,0.0,0.10302110176886273,0.0,1.0,0.0,0.0
106,0.334008056077624,0.665991943922376,0.0,0.0,0.0,0.3994381356897062,0.6005618643102938,0.0,0.0,0.16291300755170676,0.0,0.8370869924482931
107,0.0,1.0,0.0,0.0,0.3309273659862814,0.31765998824365727,0.35141264577006115,0.0,0.0,0.5203427217154475,0.193846844061587,0.2858104342229654
108,0.4918043459857105,0.0,0.0,0.5081956540142896,0.0,0.0,1.0,0.0,0.12133994432082693,0.13971142938708198,0.0,0.738948626292091
109,0.7368547833566115,0.0,0.0991532429655668,0.16399197367782156,0.02925937853171022,0.6285110994824423,0.0,0.34222952198584744,0.009543678338088434,0.34960992922448664,0.5974486693550505,0.04339772308237442
110,0.9740912022384167,0.0,0.0,0.025908797761583266,0.10887964599987103,0.37207062191830037,0.1699898313416178,0.34905990074021087,0.3751315560819169,0.3918325699865745,0.23303587393150857,0.0
111,0.0,0.0,0.3767601465902461,0.623239853409754,0.03316707103411611,0.631031405405406,0.3258280165028377,0.009973507057640133,0.1419430774732858,0.0,0.258368217241263,0.5996887052854512
112,0.6122316407343106,0.0,0.0,0.38776835926568937,0.8598572443966299,0.0,0.0,0.14014275560337,0.6279083501140065,0.0,0.09141065608001735,0.2806809938059762
113,0.24020355618647854,0.0,0.2858685626432247,0.47392788117029677,0.030393608698001374,0.0,0.029272948494452566,0.9403334428075459,0.01519664661945075,0.1524563503786,0.8323470030019493,0.0
114,0.10544628317859664,0.0,0.8945537168214035,0.0,0.25,0.25,0.25,0.25,0.0,0.07119178307977272,0.5809760676298394,0.3478321492903879
115,0.0,1.0,0.0,0.0,0.27091592031277156,0.6102285742423208,0.0,0.11885550544490775,0.0,1.0,0.0,0.0
116,0.5517715211988268,0.4482284788011732,0.0,0.0,0.43047788934571524,0.0,0.5695221106542848,0.0,0.008549779330748816,0.0,0.0,0.9914502206692511
117,0.0,0.9633717145113547,0.03662828548864524,0.0,0.20197124973356026,0.0,0.7448411710985734,0.05318757916786618,0.0,0.0,0.0,1.0
118,0.1099864546096171,0.2093526150266445,0.0,0.6806609303637384,0.0427463554596705,0.10208875399466429,0.29689050823380825,0.5582743823118569,0.25,0.25,0.25,0.25
119,0.0,0.09451221636282697,0.0,0.9054877836371731,0.0,0.0,0.2149657981079616,0.7850342018920384,0.0,0.12027261284243454,0.6021998577604344,0.27752752939713105
120,0.25,0.25,0.25,0.25,0.35713027832869504,0.46415462881634645,0.0,0.17871509285495854,0.2668675299437572,0.06498851669363118,0.6681439533626117,0.0
121,0.7056542656169706,0.1462989588365329,0.1480467755464964,0.0,0.061839764518682214,0.9245986898441652,0.01356154563715254,0.0,0.06781825947478508,0.830625027346356,0.0,0.10155671317885889
122,0.42747395113575554,0.5725260488642444,0.0,0.0,0.3377649894214038,0.6622350105785962,0.0,0.0,0.25,0.25,0.25,0.25
123,0.0,1.0,0.0,0.0,0.627595640240779,0.17256864428637436,0.0,0.1998357154728467,0.0,0.2543622121819027,0.3286663449489934,0.41697144286910387
124,0.5431743361640774,0.10303201239925262,0.26373742380438064,0.09005622763228938,0.8358798253373221,0.14312411400542846,0.0,0.020996060657249415,0.6082786941484916,0.0,0.3917213058515085,0.0
125,0.150076693955594,0.6446184250990029,0.20530488094540306,0.0,0.6158878696498753,0.3841121303501247,0.0,0.0,0.0,0.7143101533278261,0.0,0.28568984667217395
126,0.15047594703278042,0.37452361976998233,0.47500043319723717,0.0,0.0,0.9679031127333143,0.032096887266685706,0.0,0.0,0.0,0.0,1.0
127,0.5542676239083058,0.0,0.09453670888843468,0.3511956672032596,0.25,0.25,0.25,0.25,0.0,0.4627669490136312,0.24230295306767485,0.294930097918694
128,0.0,0.2714416551586319,0.0,0.728558344841368,0.24093688858078333,0.21235939587563304,0.03831715058064143,0.5083865649629422,0.12771417605770086,0.3595452605851221,0.39494825710169634,0.11779230625548076
129,0.0,0.45804876355081925,0.5419512364491808,0.0,0.14447153234704063,0.39384279660255345,0.051328203575383854,0.4103574674750221,1.0,0.0,0.0,0.0
130,0.03631818000139775,0.5406990700912739,0.012722670694414679,0.41026007921291363,0.36523415791525415,0.36523415791525415,0.26953168416949175,0.0,0.5122165112512251,0.3135215421352006,0.17426194661357414,0.0
131,0.014864070200360041,0.0,0.8070477036159343,0.17808822618370568,0.0800306778362645,0.0,0.9199693221637354,0.0,0.0,0.43637298509101236,0.18240860005680604,0.38121841485218155
132,0.0,0.8135530006189152,0.0,0.18644699938108475,0.18278791365681055,0.1492367362453878,0.0,0.6679753500978017,0.0,0.07837131604230707,0.3499565148177958,0.5716721691398972
133,0.4635729195322141,0.5364270804677859,0.0,0.0,0.43147749304765254,0.13704501390469498,0.0,0.43147749304765254,0.2950656846571236,0.12267031942974545,0.26396787730362725,0.3182961186095038
134,0.5581904437045111,0.0,0.0,0.441809556295489,0.0,0.07652085657364037,0.02790502113981071,0.895574122286549,0.12705386811921077,0.12868501106359118,0.28064290083897553,0.46361821997822256
135,0.30665425176480016,0.3379619058653255,0.3553838423698743,0.0,0.20162326953920906,0.4661999199990718,0.14817069320333076,0.18400611725838842,0.6064460470400778,0.3935539529599222,0.0,0.0
136,0.7538312041170475,0.19255560731162844,0.0,0.053613188571324015,0.29889397693289405,0.0,0.3365585390164907,0.3645474840506153,0.00879705839142398,0.54135395528259,0.449848986325986,0.0
137,0.7210729731545682,0.27892702684543175,0.0,0.0,0.0,0.786280570758786,0.0,0.21371942924121398,0.37945415376785285,0.0,0.15331424290615253,0.4672316033259946
138,0.6359387555889792,0.012542565230226626,0.0,0.3515186791807942,0.37731369803711784,0.0,0.367745769779688,0.25494053218319424,0.25,0.25,0.25,0.25
139,0.0,0.0,0.0,1.0,0.04745928413908547,0.4829754155396407,0.17286517866038223,0.29670012166089166,0.17291515106232533,0.8270848489376746,0.0,0.0
140,0.5,0.0,0.0,0.5,0.0,0.5789308477286254,0.42106915227137454,0.0,0.13986429903725364,0.0,0.5002125852068563,0.3599231157558901
141,0.4504901418449327,0.2593786174472856,0.0,0.29013124070778173,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
142,0.698898308602009,0.0,0.30110169139799103,0.0,0.5360058614704801,0.0,0.44149227386006057,0.02250186466945919,0.374967862310177,0.0,0.5454513248563133,0.07958081283350969
143,0.273697689293289,0.655886393472018,0.059237169551561566,0.011178747683131334,0.23326644933606072,0.4201001193177438,0.16177268215301516,0.1848607491931804,0.0,0.9289137966697008,0.0,0.07108620333029925
144,0.0,0.5669637727392695,0.19111455417147238,0.2419216730892582,0.18724095376981018,0.05759328558173669,0.6538357369309628,0.10133002371749043,0.0,0.0,0.0,1.0
145,0.25,0.25,0.25,0.25,0.6019972364901984,0.39800276350980157,0.0,0.0,0.0,0.0,0.7329407481861159,0.26705925181388424
146,0.377383619077607,0.5135183275158637,0.10909805340652934,0.0,0.30783226737881353,0.619001259165982,0.07316647345520441,0.0,0.0,1.0,0.0,0.0
147,0.38027011044186293,0.501671497352971,0.11805839220516605,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5598894291726628,0.44011057082733707
148,0.0,0.681125153588636,0.318874846411364,0.0,0.7774997192050256,0.22250028079497453,0.0,0.0,0.04660881629301817,0.4835860065104295,0.0,0.46980517719655235
149,0.42206709987883806,0.5779329001211618,0.0,0.0,0.0,0.132925571077481,0.867074428922519,0.0,0.23796296425576935,0.029706429747414786,0.22770551496961877,0.5046250910271971
150,0.7474964640796286,0.0,0.0,0.25250353592037145,0.0,0.5916693157494265,0.13340643071367198,0.27492425353690153,0.18410439738343648,0.10216814471028576,0.0,0.7137274579062778
151,0.6697368128990849,0.2209302849442959,0.0,0.10933290215661925,0.06759661905943004,0.3122042011439651,0.35213397209540953,0.2680652077011954,0.16862229458418942,0.05286331010270515,0.7785143953131054,0.0
152,0.2302536787682417,0.14396209946615707,0.3439711641686919,0.28181305759690944,0.0,0.21551431351134162,0.7844856864886584,0.0,0.0,0.5986557206292622,0.10331348350025206,0.2980307958704857
153,0.038308588851845134,0.9616914111481548,0.0,0.0,0.8788902814551736,0.0,0.06693591486692917,0.054173803677897335,0.25,0.25,0.25,0.25
154,0.7255778530479777,0.0,0.0,0.2744221469520222,0.038501837575719865,0.0,0.0,0.9614981624242801,0.0762851407076844,0.1187159968471117,0.0,0.8049988624452039
155,0.4915208731312532,0.0,0.0,0.5084791268687467,0.5999625929133072,0.4000374070866928,0.0,0.0,0.7242016268430025,0.0,0.2757983731569976,0.0
156,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.7507463026353548,0.24925369736464514,0.0,0.0
157,0.0,0.18457664255077372,0.0,0.8154233574492263,0.3751366637344386,0.0,0.5093629507465343,0.11550038551902715,0.0,0.0,1.0,0.0
158,0.5521739561183168,0.0,0.09072853843523607,0.35709750544644714,0.25,0.25,0.25,0.25,0.0,0.0,0.09519626842946921,0.9048037315705307
159,0.016232372513935184,0.9837676274860649,0.0,0.0,0.9468832323854612,0.0531167676145388,0.0,0.0,0.25,0.25,0.25,0.25
160,0.6997695717173873,0.16557322332889982,0.08849417619875648,0.046163028754956446,0.0,0.6114704738041211,0.30400049409646474,0.08452903209941412,0.36321232306474804,0.6367876769352521,0.0,0.0
161,0.0,0.0,1.0,0.0,0.3875118911954992,0.0,0.18976025348307182,0.4227278553214291,0.12627325539136594,0.5491735496102036,0.3245531949984304,0.0
162,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
163,0.0,1.0,0.0,0.0,0.0,0.0,0.5263939239012099,0.4736060760987902,0.0,0.22682491148858838,0.252346381317086,0.5208287071943257
164,0.25461562694807294,0.5689804057728288,0.084012013069826,0.09239195420927225,0.16263525428035738,0.09379368766645732,0.7435710580531852,0.0,0.9382657570619779,0.0,0.06173424293802205,0.0
165,0.0,0.5504666957844512,0.17806782304114213,0.2714654811744067,0.0,0.0,0.5496116541470093,0.45038834585299076,0.18488991816436862,0.5257306411828977,0.28937944065273363,0.0
166,0.6553329111212505,0.0,0.34466708887874953,0.0,0.5113675886801247,0.0,0.0,0.48863241131987545,0.0,0.4821776821243497,0.5178223178756504,0.0
167,0.0,0.2580865961597788,0.7419134038402212,0.0,0.4265056065715725,0.0,0.5734943934284275,0.0,0.4282027204874171,0.010788925041899978,0.01238599893621865,0.5486223555344643
