A,C,B
0,70,76
0,67,85
0,50,72
1,38,13
0,79,77
1,31,15
0,61,67
1,42,23
0,52,77
1,54,44
1,27,25
1,4,14
0,44,73
0,57,76
1,4,8
1,24,11
0,89,84
0,92,85
1,31,33
1,42,24
1,13,6
1,69,35
1,18,6
1,28,24
1,4,15
0,77,81
1,46,19
1,40,37
0,85,73
0,80,83
1,23,26
0,90,99
1,41,22
0,81,82
1,53,33
1,71,24
0,93,76
0,98,70
0,95,86
1,60,24
1,31,21
1,34,9
0,88,66
1,53,35
0,76,67
0,66,69
1,11,39
1,14,29
1,78,28
1,21,15
0,70,83
1,43,32
1,31,29
1,60,25
1,59,19
0,99,71
0,77,76
0,73,79
1,79,44
0,38,74
1,28,15
0,88,75
1,17,29
0,71,67
1,95,41
1,97,39
1,62,33
1,90,26
1,55,16
1,9,35
1,79,31
0,93,71
0,76,76
0,73,71
0,79,76
0,72,78
1,48,17
0,67,80
1,20,11
1,16,30
0,65,78
1,37,23
1,19,34
1,8,18
0,62,72
1,39,1
1,10,9
1,38,9
0,84,91
1,23,22
1,38,24
1,31,18
1,40,19
0,50,66
0,73,59
0,82,81
0,99,56
1,13,10
0,73,79
0,75,67
1,36,26
0,50,74
1,3,14
1,7,8
0,89,76
0,72,72
0,84,88
1,84,10
1,2,6
1,47,26
1,49,21
0,57,77
1,45,20
1,37,36
1,76,35
1,22,6
1,40,14
0,63,70
0,92,90
0,72,83
1,23,18
0,91,67
1,14,9
0,52,76
1,84,26
0,70,81
0,62,76
1,21,26
1,32,21
1,79,21
1,43,34
0,96,78
0,80,74
1,80,33
1,82,32
1,95,20
0,93,73
1,92,36
1,38,17
1,57,45
1,8,19
0,64,78
0,97,74
1,50,30
0,77,76
0,86,79
1,44,10
1,56,16
1,37,30
1,18,24
1,27,7
1,82,42
0,95,67
0,66,82
1,93,24
1,59,41
1,42,32
1,46,27
1,72,27
0,78,78
0,60,82
0,69,67
1,56,27
0,52,81
0,91,79
1,35,35
1,41,28
1,52,40
0,72,76
1,66,30
0,64,70
0,89,69
0,67,79
1,14,10
1,22,29
0,74,79
1,15,25
1,61,22
1,50,3
1,1,9
0,84,70
1,11,25
0,73,72
1,80,36
1,32,12
0,97,77
0,94,75
0,80,86
1,23,3
0,81,77
1,46,9
1,19,27
1,55,6
0,83,78
0,69,72
1,45,29
1,20,41
1,36,12
1,84,19
1,3,26
0,86,71
0,94,80
1,55,43
1,48,27
0,89,76
0,83,80
1,52,27
0,59,76
1,58,41
1,50,36
1,45,27
1,84,38
1,65,12
0,75,77
0,63,65
1,52,12
0,78,71
1,83,25
1,46,26
1,7,16
1,20,14
0,52,66
1,22,38
1,63,20
1,78,21
0,93,68
0,52,81
1,49,19
1,52,41
1,64,35
1,70,42
0,64,79
1,55,47
0,58,60
1,52,37
1,3,2
1,53,4
1,28,42
1,92,46
1,85,49
1,25,16
0,98,78
0,77,78
1,60,42
0,78,70
1,11,11
0,85,86
0,45,75
1,22,22
1,47,41
0,62,73
1,78,39
0,73,66
0,53,51
1,75,38
0,89,89
1,29,28
1,38,23
1,2,1
0,49,75
0,95,64
1,64,40
1,91,25
1,4,25
1,57,1
0,92,78
1,93,21
1,23,23
1,77,25
1,67,14
1,59,26
1,4,2
1,14,28
0,95,71
1,28,20
1,29,24
0,28,71
1,86,17
0,73,95
0,52,81
1,90,26
0,81,74
0,93,74
1,51,29
0,62,65
1,37,21
0,95,83
1,6,13
1,17,13
1,49,35
0,60,85
1,48,24
1,92,46
1,44,32
0,69,79
1,80,34
0,65,80
0,61,60
0,78,78
1,99,41
1,69,53
1,18,21
1,16,15
1,73,9
1,52,52
0,75,71
0,88,79
0,81,76
1,20,13
1,71,24
0,84,70
1,96,37
1,56,34
0,61,74
0,89,70
0,80,80
0,87,74
0,99,75
1,24,14
0,73,81
1,84,28
1,59,24
0,76,83
1,81,51
1,82,22
1,81,36
1,47,27
1,49,33
1,56,35
0,50,82
0,78,75
0,57,79
0,92,76
1,30,18
0,97,87
0,74,90
0,88,81
1,11,20
0,87,78
1,52,14
0,56,76
1,57,47
0,49,85
1,24,30
1,60,19
1,72,40
0,52,81
1,90,33
1,43,22
1,43,33
1,36,8
0,87,79
1,46,9
1,28,19
1,50,41
0,97,81
0,89,80
0,99,79
0,90,74
1,68,40
1,99,31
0,54,64
1,74,27
0,70,73
0,84,74
0,80,71
1,40,27
1,35,30
0,97,70
1,74,32
1,98,42
1,37,22
1,3,13
1,77,23
1,36,23
1,41,26
1,97,23
1,18,29
1,74,30
1,19,4
0,96,73
1,62,29
1,52,37
1,91,40
1,49,21
0,65,70
1,98,12
1,33,26
1,40,37
0,53,73
0,69,72
1,39,36
1,64,17
0,96,81
0,76,65
1,17,4
0,99,74
1,31,22
0,88,77
0,46,67
1,12,26
0,87,82
1,65,31
1,59,29
1,99,35
0,90,68
1,64,26
0,84,71
1,68,29
0,58,77
0,82,77
1,16,5
1,78,43
0,64,60
1,51,6
1,24,21
1,18,19
0,71,78
1,57,17
0,41,70
0,94,74
1,35,11
1,3,19
1,51,30
0,81,74
0,75,87
1,24,8
0,87,71
1,74,23
0,82,83
1,14,15
1,38,36
0,80,84
1,38,39
1,93,42
1,75,23
0,79,69
1,86,22
1,82,21
0,79,66
0,88,73
1,34,33
1,88,25
1,9,8
0,55,61
1,79,41
1,25,25
1,46,36
1,60,38
1,46,31
1,12,10
1,48,21
1,33,25
1,78,40
1,38,14
1,5,24
0,87,74
0,72,56
1,49,31
1,57,29
1,60,36
0,74,89
1,37,31
1,55,42
1,47,20
1,77,19
1,88,40
0,89,76
0,96,70
1,34,21
1,54,2
1,78,12
1,61,38
1,63,38
0,81,77
1,51,42
0,84,77
1,34,17
1,66,27
1,58,45
1,77,57
0,79,69
0,76,82
1,22,27
0,72,62
0,69,88
1,36,21
1,33,29
1,53,31
1,94,27
0,86,66
1,33,14
0,72,72
0,64,80
0,90,81
1,41,6
1,16,4
0,65,87
1,56,25
1,30,16
0,49,77
1,18,17
0,51,74
1,37,20
1,61,12
1,46,34
0,62,71
1,31,0
1,9,15
0,69,63
1,5,16
1,37,29
1,12,25
0,64,77
1,10,26
1,77,37
1,48,15
1,25,18
1,64,29
1,21,16
1,60,53
1,41,44
0,82,82
1,62,25
1,57,39
0,80,76
1,50,37
1,68,43
1,50,8
0,69,87
0,89,75
1,56,42
1,6,4
1,20,30
1,46,39
0,87,77
1,68,23
1,63,34
0,72,70
1,63,32
0,84,74
1,68,23
0,74,73
0,77,79
0,66,64
1,79,29
0,56,84
0,68,82
0,53,78
1,95,35
1,10,15
1,58,35
0,77,80
0,91,78
0,51,76
1,31,22
1,62,33
1,34,27
1,50,16
1,56,35
1,71,37
1,40,27
0,87,71
1,45,25
0,55,75
1,45,32
0,57,76
0,74,63
0,83,73
0,88,82
0,92,71
1,37,20
1,33,14
1,44,23
0,96,61
0,70,63
0,69,88
1,42,35
1,79,18
0,54,76
0,71,84
1,87,26
0,52,70
0,71,65
1,27,20
0,71,85
0,82,76
0,90,78
0,56,70
1,26,31
1,81,36
1,33,29
1,35,36
0,70,63
1,97,21
1,36,37
1,98,42
0,87,72
1,1,27
0,85,71
0,93,66
0,86,77
0,64,77
1,45,31
1,91,28
1,74,22
0,34,63
1,53,41
0,97,71
1,75,39
1,57,27
0,77,89
0,63,73
1,60,30
1,39,31
1,29,35
1,71,50
0,83,69
1,15,9
0,62,78
0,81,73
1,55,25
0,93,77
1,65,34
1,67,21
1,43,17
1,40,18
1,5,17
0,81,79
1,17,37
1,12,17
0,65,89
1,4,22
0,56,70
0,79,83
1,69,28
1,95,45
1,67,31
1,68,48
1,74,28
0,68,72
1,85,25
1,3,21
0,80,75
0,74,73
0,41,73
1,12,39
0,62,81
1,6,26
1,75,20
1,77,41
1,42,23
0,94,72
1,86,37
0,98,81
0,49,71
0,85,76
0,68,72
0,81,66
1,17,13
1,51,27
1,46,34
0,49,73
0,89,84
1,0,15
1,67,50
1,49,34
1,52,21
0,78,60
0,84,87
0,92,75
1,64,16
1,19,27
0,68,74
0,59,82
1,24,17
1,45,22
0,60,75
0,87,79
1,72,36
1,53,27
1,70,38
1,79,13
0,88,80
0,75,87
1,41,47
1,91,32
0,65,83
1,51,12
0,93,72
1,89,36
0,86,75
1,31,4
1,5,4
0,50,90
1,46,24
1,3,8
0,94,70
1,56,31
1,27,41
0,95,73
0,80,77
1,77,44
0,95,75
1,49,27
1,90,46
0,56,67
1,22,21
0,92,79
1,61,21
1,20,38
0,82,83
0,85,79
1,45,35
1,81,30
0,52,74
0,83,77
1,31,11
1,90,19
1,47,4
0,74,76
0,58,66
0,86,78
0,92,75
1,69,28
1,4,21
1,91,30
1,37,28
0,71,94
1,64,34
0,89,69
1,63,23
1,89,19
0,76,80
1,36,33
1,41,17
1,99,37
1,16,22
1,78,21
1,11,25
1,24,25
0,52,73
1,22,14
1,67,18
0,61,77
1,34,11
0,85,70
1,53,19
0,69,66
0,59,62
0,82,65
1,62,15
1,53,50
1,47,26
0,85,80
1,28,29
0,66,79
1,67,16
0,81,77
1,50,39
1,72,37
1,41,34
1,82,32
1,67,35
0,97,83
1,42,15
1,16,26
1,42,19
1,40,32
1,80,34
1,32,17
0,51,75
1,48,31
1,41,33
1,90,5
1,44,17
1,68,20
1,58,30
1,14,27
0,99,73
1,35,29
1,33,14
1,69,34
0,72,76
1,52,35
1,90,29
1,60,44
1,55,43
1,54,29
1,19,14
1,29,22
0,88,85
1,5,30
1,29,40
1,94,23
0,97,89
1,81,41
0,62,66
1,32,58
1,36,25
0,86,85
1,12,14
1,42,27
0,88,71
1,44,34
0,98,74
0,85,62
1,31,12
1,36,42
1,60,11
0,86,74
0,51,64
0,94,90
0,60,84
1,30,23
0,98,89
1,90,30
0,90,72
1,98,29
1,73,25
1,57,31
0,90,74
0,93,64
1,27,13
1,37,24
0,66,90
0,67,75
1,23,26
0,89,81
1,78,27
0,52,84
1,80,36
1,19,27
0,82,84
1,73,26
0,74,69
1,18,31
0,73,88
1,64,30
0,53,68
0,81,80
1,65,35
0,85,76
1,3,21
1,58,29
1,88,3
0,94,74
1,80,41
1,72,19
1,89,30
1,77,13
0,77,74
1,94,20
1,25,26
0,97,77
1,61,30
0,99,73
0,76,72
1,72,29
1,68,29
1,70,47
1,30,23
1,58,12
1,97,39
1,14,30
0,59,74
1,68,11
1,68,5
1,30,20
1,69,37
0,92,74
1,71,8
0,67,74
1,58,25
1,94,40
1,70,39
0,88,72
1,73,17
0,63,67
1,69,42
0,52,64
1,60,24
1,60,43
1,15,18
0,71,73
1,45,15
1,61,50
0,52,77
1,70,28
0,46,77
1,12,12
1,36,44
0,52,78
1,31,39
1,40,36
0,61,83
0,90,74
0,93,72
0,90,62
0,55,75
0,63,78
0,76,76
1,35,36
1,95,29
0,79,90
0,90,66
1,58,38
1,88,17
1,61,22
0,61,73
1,97,4
1,3,8
1,25,21
1,51,22
0,71,88
1,73,9
0,92,62
1,63,37
1,64,47
0,85,82
1,95,26
0,69,78
0,79,76
1,53,29
1,57,37
0,85,70
1,50,27
1,94,21
1,65,34
1,50,26
0,62,79
1,83,21
1,59,35
1,56,52
1,42,30
1,73,20
0,61,64
0,57,84
1,61,46
0,85,74
1,63,37
1,69,19
1,92,29
1,58,28
0,87,74
0,68,79
1,12,16
1,29,11
1,59,16
0,56,63
1,95,47
0,92,70
1,50,37
0,83,92
1,7,15
1,22,29
1,37,34
0,55,80
1,96,54
1,16,18
1,96,37
0,82,65
1,77,17
1,75,23
1,75,32
0,64,80
0,57,78
0,38,70
1,83,18
0,74,56
0,92,77
0,79,82
1,41,5
0,75,77
1,66,28
1,48,18
0,83,84
1,79,33
0,89,82
0,82,72
0,83,85
1,9,12
1,44,52
1,74,37
0,75,77
0,73,75
1,71,31
1,73,44
1,22,14
0,64,82
1,41,9
1,40,41
1,58,14
0,86,58
1,41,23
1,82,30
0,81,77
1,28,28
0,67,72
0,90,70
1,25,25
0,58,85
1,64,31
1,69,31
1,59,31
1,27,18
1,85,42
0,97,88
1,46,33
0,50,66
1,49,46
0,56,63
1,28,26
1,40,31
1,65,21
1,13,34
1,58,27
1,11,17
1,50,12
0,93,69
1,64,28
1,26,29
1,23,21
0,67,70
0,71,91
0,47,82
1,75,44
1,45,9
0,67,70
0,74,65
0,67,73
1,32,23
1,36,17
1,92,23
1,36,24
0,50,74
1,26,37
1,47,39
0,96,68
1,61,25
0,47,62
1,55,22
1,32,13
0,63,77
1,25,22
0,71,74
1,84,44
1,13,31
1,73,28
0,70,74
0,95,76
0,97,77
1,60,3
0,67,77
0,68,73
0,77,82
0,71,64
0,62,71
0,56,72
1,90,32
0,60,63
0,78,68
0,80,87
1,63,34
1,43,26
0,82,77
0,64,80
0,48,76
1,29,14
1,3,10
0,67,71
1,46,21
1,48,25
0,75,62
1,64,27
1,99,35
1,43,25
0,65,78
0,57,87
1,82,24
1,31,29
0,42,72
1,55,32
0,95,83
0,64,85
1,14,15
1,46,36
1,79,26
0,89,87
1,38,45
0,89,88
0,88,71
1,13,18
1,42,29
0,86,75
1,72,26
1,59,26
1,53,31
1,72,39
1,57,18
1,29,27
0,60,86
1,49,21
1,59,43
1,25,11
1,55,35
1,40,44
1,81,22
0,63,83
1,28,23
0,57,83
0,85,85
1,74,12
1,51,14
1,39,35
1,25,0
0,77,74
0,78,83
1,29,29
0,81,64
1,20,16
1,91,14
1,69,25
1,25,29
0,78,83
1,88,45
0,57,74
0,99,74
0,85,68
0,60,77
1,62,25
1,75,29
1,69,27
0,89,89
1,48,18
0,93,71
1,76,23
1,47,28
0,79,74
1,6,5
0,79,89
1,22,17
1,77,26
0,55,84
1,96,24
0,81,74
1,15,1
0,72,69
0,94,89
1,1,15
0,82,83
1,25,19
1,96,25
1,21,26
1,56,20
0,89,74
0,74,67
0,72,65
0,54,69
1,28,18
1,37,22
0,68,79
1,75,44
1,83,42
1,23,23
1,76,32
0,87,77
1,27,16
0,90,80
1,64,42
1,31,15
1,73,29
1,51,32
0,85,85
1,75,38
1,43,27
1,56,29
1,31,24
1,10,14
1,65,5
1,34,14
0,81,82
1,84,21
1,42,20
0,90,88
0,77,80
0,72,79
0,86,73
0,80,67
1,28,18
1,27,2
0,95,72
0,81,74
0,82,77
1,10,30
0,66,91
1,33,30
1,49,29
1,37,17
1,16,12
1,28,21
1,4,8
1,38,23
1,25,16
0,58,83
0,82,80
0,98,78
1,87,32
0,80,88
1,29,32
0,84,78
0,97,61
0,90,67
1,23,18
0,88,82
0,83,76
0,60,81
1,3,9
1,66,11
0,87,84
1,37,30
1,71,35
1,82,35
1,77,32
0,72,80
1,59,34
1,8,16
1,86,47
0,74,90
1,73,41
1,71,23
1,6,7
1,75,35
1,20,10
0,69,83
1,4,6
1,5,24
1,84,28
1,83,4
1,62,19
0,63,71
1,62,27
1,18,22
0,66,71
0,88,94
1,54,47
1,99,37
0,67,69
0,82,80
1,20,29
0,76,77
0,92,84
0,78,77
0,56,64
1,65,35
0,65,76
0,92,71
1,34,10
1,14,19
0,71,80
1,77,33
1,56,26
0,54,79
1,58,35
0,87,58
1,51,28
1,19,22
1,59,48
0,86,84
0,91,83
0,73,84
1,99,36
1,34,17
1,85,37
1,73,33
1,53,3
0,91,57
1,49,11
0,66,64
1,23,29
0,90,77
0,79,70
1,3,26
1,70,48
1,19,25
1,33,28
0,96,76
1,44,24
0,69,70
1,64,34
0,91,78
1,27,15
0,81,75
0,83,69
1,67,23
1,62,32
1,56,31
1,4,17
1,90,36
0,52,87
0,80,63
0,77,85
1,28,27
1,50,23
0,72,74
1,30,20
1,58,21
0,83,73
0,79,73
1,23,17
1,36,19
1,16,22
1,65,28
0,56,76
1,64,28
1,49,36
0,52,66
0,92,70
1,44,13
1,89,42
1,74,43
1,4,13
1,70,47
1,67,37
0,89,83
0,59,88
0,73,81
1,46,37
1,22,18
1,6,19
1,86,48
0,87,86
1,23,24
1,82,28
0,89,76
1,80,31
1,74,37
1,71,22
1,61,18
0,72,85
1,29,30
1,40,22
1,5,27
0,88,67
1,18,5
0,70,85
1,6,10
1,66,34
1,47,11
0,85,89
0,74,78
0,77,69
0,70,69
1,44,33
0,77,78
0,54,82
1,65,24
1,21,18
0,73,67
1,64,30
0,69,76
1,87,40
0,92,87
0,72,75
1,52,19
1,43,4
1,40,23
0,55,85
0,54,77
1,14,18
1,54,34
1,36,29
1,50,14
1,49,31
1,30,17
1,86,52
1,0,3
1,61,32
1,52,21
1,6,11
1,94,19
0,66,73
1,38,27
1,23,30
0,74,69
1,4,24
1,49,34
0,99,73
0,27,82
0,60,67
1,94,44
1,77,16
0,72,63
0,49,59
0,54,87
1,53,29
1,38,27
0,56,73
1,59,26
1,37,36
1,10,19
0,94,66
1,43,21
0,78,73
1,34,13
1,61,17
0,83,83
1,34,24
1,62,37
1,46,12
1,92,6
0,59,74
0,82,73
0,87,94
0,40,69
1,54,14
0,97,80
1,56,17
1,15,19
1,57,17
0,96,74
1,71,24
0,99,69
1,76,28
1,38,24
1,85,40
1,75,34
1,25,34
0,96,95
1,31,24
0,55,77
0,84,72
1,57,27
1,95,37
0,74,71
1,85,41
1,85,20
0,50,82
1,75,16
1,30,34
0,71,79
1,71,38
0,88,76
1,34,4
1,79,31
1,56,35
1,83,27
1,15,32
1,35,45
0,91,69
1,1,2
1,21,40
1,39,28
0,71,73
1,63,37
0,77,77
1,45,38
1,18,17
0,59,72
1,17,15
1,83,30
1,8,12
1,96,30
1,54,48
1,68,30
1,29,16
1,63,18
1,4,22
1,1,26
0,84,78
1,5,18
0,94,90
0,53,67
0,84,82
0,91,90
1,86,24
0,75,82
1,11,28
1,60,18
1,26,31
0,80,62
1,60,42
1,62,30
1,49,15
1,2,14
0,79,69
1,46,28
1,19,28
1,35,24
0,70,70
1,4,4
1,76,23
1,48,19
1,62,45
0,68,81
1,48,23
1,81,21
1,99,45
1,46,16
1,96,22
0,45,62
0,99,78
1,25,41
0,69,72
0,96,79
1,7,9
0,98,73
1,22,37
0,70,82
1,18,24
1,21,26
1,31,40
1,72,28
1,38,24
0,53,65
0,96,77
1,72,39
0,98,74
0,61,81
1,74,30
1,21,11
0,88,78
1,9,6
0,97,90
1,23,17
1,54,20
0,70,78
0,50,74
1,19,14
1,21,18
1,19,23
0,56,63
1,54,42
0,77,85
1,14,10
1,38,22
0,77,71
1,11,13
1,31,47
1,73,32
0,76,65
0,66,76
1,58,51
1,92,23
0,91,75
1,53,40
1,60,30
1,60,30
1,81,30
1,96,35
1,36,28
0,67,75
1,26,26
1,15,13
1,50,29
1,33,18
1,2,13
0,73,72
1,38,6
0,69,71
1,3,16
0,50,73
1,26,30
1,41,24
0,76,67
1,57,28
0,89,91
0,56,78
0,77,74
1,52,39
0,63,80
0,90,75
1,97,34
1,75,46
0,67,91
1,18,10
1,58,29
1,55,24
0,85,87
1,66,21
0,85,76
1,15,26
0,65,71
1,93,21
1,91,11
1,30,22
1,56,34
1,30,13
1,21,8
1,49,61
1,43,18
1,46,21
0,77,73
0,63,85
1,87,43
1,77,23
1,70,25
0,81,64
1,47,10
1,31,10
0,94,65
1,52,32
1,55,10
1,28,45
1,27,11
1,9,21
1,64,16
0,76,61
0,77,77
1,30,21
0,79,86
1,47,17
1,36,30
1,76,50
0,99,69
0,56,67
1,7,28
1,23,16
0,73,79
1,56,26
0,60,78
1,94,43
0,55,77
0,75,72
0,84,67
0,88,72
0,86,71
1,88,30
1,10,8
1,56,31
1,18,21
1,69,9
0,88,73
0,95,68
1,41,14
1,97,31
1,49,20
1,11,22
1,54,20
0,99,64
1,3,20
1,5,14
1,17,19
0,76,63
1,24,16
1,13,17
1,66,29
0,68,74
1,17,17
1,72,8
0,72,75
0,73,72
0,67,73
1,69,29
1,32,19
1,24,32
1,40,42
1,62,28
1,12,0
0,85,76
1,59,40
1,34,28
0,72,72
0,92,76
0,68,65
1,24,25
0,84,89
1,65,38
0,59,62
0,86,77
1,81,39
0,65,71
0,89,86
0,77,91
1,22,17
0,85,63
0,74,76
1,37,32
1,13,43
1,91,51
0,72,93
0,80,83
1,80,25
0,46,62
1,35,34
1,11,3
0,99,84
1,64,38
1,64,19
1,24,13
0,97,87
0,85,90
1,21,18
0,72,92
0,77,75
1,64,30
1,12,21
1,68,23
0,71,90
1,29,23
1,50,30
1,77,23
1,79,21
1,53,27
0,70,77
0,79,76
1,62,25
0,84,68
0,92,76
0,86,86
0,57,81
1,20,12
1,3,13
1,61,9
0,96,78
0,87,70
0,84,82
1,79,26
1,19,37
1,26,21
1,60,19
0,89,70
0,47,77
0,70,73
0,82,85
1,80,36
0,88,65
0,87,83
1,75,33
1,11,16
0,90,73
0,96,75
1,41,11
1,46,27
0,75,89
0,51,71
1,96,29
1,30,24
1,71,30
0,59,66
0,81,73
1,28,33
1,82,21
0,79,77
0,73,75
0,96,78
0,49,79
0,78,71
0,87,69
1,28,15
0,71,67
1,0,15
0,83,52
0,59,76
1,26,19
1,67,27
1,45,29
1,14,30
1,56,42
0,75,71
1,82,56
0,97,83
1,78,29
0,76,71
0,73,72
0,87,79
0,66,87
1,4,16
1,60,23
1,56,38
1,44,31
0,69,76
1,92,3
0,57,80
0,88,69
1,68,0
1,48,29
1,81,25
1,2,18
0,69,74
0,67,93
0,53,78
0,74,93
0,96,76
1,46,34
1,33,47
0,66,84
1,21,13
0,56,83
0,59,94
1,56,17
1,29,35
1,99,32
0,79,73
1,6,14
0,53,79
1,67,29
1,79,25
1,13,13
0,84,77
0,74,85
1,28,20
0,66,75
0,45,74
1,50,28
0,56,68
1,51,44
0,91,88
0,94,72
1,41,27
0,46,77
0,67,76
1,63,29
1,14,31
1,49,30
1,15,19
0,67,70
1,31,18
0,91,77
0,99,77
0,86,76
1,73,32
1,78,46
1,20,13
1,47,16
0,95,78
1,16,12
0,90,75
1,41,23
0,91,79
1,52,38
1,81,31
1,42,23
1,75,49
0,69,82
1,73,30
1,40,19
0,78,68
0,51,79
1,21,21
0,60,78
1,29,11
1,5,16
0,86,78
1,52,29
1,35,24
1,82,36
1,58,11
1,99,35
0,78,77
1,58,23
0,95,75
0,87,72
0,57,85
1,99,30
1,13,7
1,12,2
0,71,68
0,91,82
1,35,30
0,58,62
1,5,25
0,74,83
1,59,28
0,53,82
1,74,31
1,23,22
0,70,61
0,99,74
0,76,76
0,63,77
0,88,85
1,87,26
1,75,28
0,74,72
0,49,74
1,61,26
1,62,33
1,30,24
0,34,73
1,74,24
1,8,4
1,15,11
1,27,15
1,39,3
1,18,19
1,62,40
1,31,26
1,79,23
1,76,23
0,72,76
1,57,40
1,77,1
0,77,83
1,80,39
1,42,12
0,93,60
0,52,79
1,26,16
1,22,43
0,81,92
0,90,72
0,76,77
1,42,46
1,95,30
1,15,9
1,24,23
0,36,73
1,60,16
1,74,36
0,70,68
1,64,30
0,86,79
0,62,73
0,74,75
1,25,24
0,80,74
0,46,73
1,5,13
1,21,24
0,84,71
1,12,15
0,99,80
1,9,21
1,40,37
1,62,20
1,49,41
0,68,72
0,87,79
0,98,84
0,75,80
0,88,83
1,26,19
0,72,73
0,92,80
1,27,22
1,59,6
1,51,27
0,88,87
1,54,28
1,48,36
0,91,69
1,36,42
1,47,44
0,93,82
0,56,71
0,70,80
0,98,96
0,57,68
1,59,30
1,7,21
1,38,29
1,66,41
1,36,42
1,90,10
1,64,33
0,46,73
0,57,69
0,64,70
1,41,13
0,49,75
1,87,28
1,52,20
1,12,12
1,15,27
0,45,76
1,30,20
1,78,27
1,85,7
1,96,28
0,86,85
1,18,18
0,72,82
1,72,15
0,97,93
